stt,ten_sp,gia_ban,doanh_so_365,so_luong_ban_365,tong_doanh_so,tong_luot_ban,tong_danh_gia,brand,phan_khuc_gia,pct_doanh_so,ti_le_danh_gia
90,Kho Quẹt Tôm Thịt Thích Cay 150g Ba Chỉ Tóp Mỡ Hàng Loại 1 Cao Cấp An Toàn Chuẩn Vị,55000,113389000,1917,178964000,3042,7010,THÍCH CAY,Trung (50-150k),0.04,2.3044
91,"Nước trôn gỏi Thích Cay, sốt trộn salad, thơm ngon, tiện dụng, công thức gia truyền",63000,113379500,193,429673025,7396,1761,THÍCH CAY,Trung (50-150k),0.04,0.2381
92,"Nước dùng Lẩu Barona nấu ngon chuẩn vị (Lẩu Thái, Lẩu Kim Chi, Lẩu Riêu Cua, Lẩu Chua Cay, Lẩu Bò, Lẩu Gà)",25000,112294864,3435,133187934,4082,2370,Barona,Rẻ (<50k),0.04,0.5806
93,"Nước trôn gỏi Thích Cay 250ml, sốt trộn salad, thơm ngon, tiện dụng, công thức gia truyền TG250-1C530334",65000,111615500,1658,142663500,2119,3460,THÍCH CAY,Trung (50-150k),0.04,1.6328
94,Nước Dùng Lẩu Thái Barona 180g tươi ngon chuẩn vị không cần nêm nếm,33117,110266603,3367,334433274,10188,1173,Barona,Rẻ (<50k),0.04,0.1151
95,Nước Mắm Cao Cấp Vị Xưa Barona 40 Độ Đạm 500ml tặng 45g tiêu hạt,94900,109678790,1292,245704740,291,4730,Barona,Trung (50-150k),0.04,16.2543
96,Combo 2 Chai Nước mắm Tĩn Trẻ Em Cho Bé Ăn Dặm độ đạm 42N chai thủy tinh 250ml/chai rin nguyên chất nhiều cá ít muối,187000,109531000,5730,237440000,1241,3080,Nước Mắm Tĩn,Cao (>150k),0.04,2.4819
97,[Tặng mì ý] Combo 3 sốt spaghetti mix 3 vị mới,92000,108495000,1175,108495000,1175,2410,O'food,Trung (50-150k),0.04,2.0511
98,Lốc 8 gói mì kim chi Ottogi 120g,72192,107809992,1547,342302692,4905,1195,Ottogi,Trung (50-150k),0.04,0.2436
99,Sốt chấm thịt nướng Hàn Quốc O'food chai 250g,32000,106054936,3333,172388436,5419,1073,O'food,Rẻ (<50k),0.04,0.198
100,"Combo 2 Gói Nước dùng Phở Bò Barona 150g, tặng tiêu hạt",71820,102645662,1315,128232450,1642,1850,Barona,Trung (50-150k),0.04,1.1267
101,Tương ớt Cholimex chai Pet 830g,27000,102480000,3421,118125500,3943,8890,Cholimex,Rẻ (<50k),0.04,2.2546
102,Lốc 5 Gói Mì Yeul Cay Ottogivn (5x120g),64500,102260500,1581,177125700,2754,5730,Ottogi,Trung (50-150k),0.04,2.0806
103,[ GIÁ TỐT ] Nước Mắm Nhỉ Làng Chài Xưa Xuất Khẩu Nhãn Xanh Chai Thủy Tinh 500ml Cốt Nhỉ Đặc Biệt Vị Dịu Nhẹ,58000,100842000,1683,197202400,3159,8020,Làng Chài Xưa,Trung (50-150k),0.04,2.5388
104,Xốt cá chiên Cholimex gói 90g tiện lợi,7380,100761600,12307,100761600,12307,2974,Cholimex,Rẻ (<50k),0.04,0.2417
105,[Thùng 6 chai] Nước mắm tôm biển Làng Chài Xưa 525ml/chai Hồng Ngọc Đại Dương 300 năm truyền thống,228000,100168000,3750,245403000,9200,2990,Làng Chài Xưa,Cao (>150k),0.04,0.325
106,"Sữa chua ngũ sắc sấy thăng hoa I-Yaua hũ 55g (việt quất, sầu riêng, chuối, dâu và truyền thống)",68000,99892000,1469,236984000,3487,6120,I-Ya.ua,Trung (50-150k),0.04,1.7551
107,Nước Dùng Phở Bò Barona 150g tươi ngon chuẩn vị không cần nêm nếm,35910,99661672,2635,222149441,5863,4720,Barona,Rẻ (<50k),0.04,0.805
108,Lẩu Thái Ngon Thuận Phát 1100g,47000,98246100,189,113189400,2179,980,THUẬN PHÁT,Rẻ (<50k),0.04,0.4497
109,Sốt teriyaki hoàn chỉnh O'food chai 250g,32000,96688000,3028,134244000,4211,6140,O'food,Rẻ (<50k),0.04,1.4581
110,Oppa mì tương đen vị sườn heo ăn liền Ottogi 65g,4900,96196700,19247,96196700,19247,1608,Ottogi,Rẻ (<50k),0.04,0.0835
111,"[Combo 3 Chai] Nước Mắm Nhỉ Làng Chài Xưa Cá Cơm Than, Tôm Biển, Cá Cơm Ruột Đỏ 525ml/chai nhựa cao cấp, tiết kiệm",119000,9571160079,7440,156086600,1213,4310,Làng Chài Xưa,Trung (50-150k),3.76,3.5532
112,"Ớt xào xé lưỡi Thích Cay 150g đa dụng cho các tín đồ mê ăn cay, dùng trong nhiều món ăn hàng ngày",53900,93526950,1701,162630850,2969,6090,THÍCH CAY,Trung (50-150k),0.04,2.0512
113,"Sốt ướp thịt Hàn Quốc O'Food chai 240g, ướp thịt chiên, nướng, BBQ, thịt xào dùng cho 1,2kg thịt",32000,92773000,2922,259796600,8149,1468,O'food,Rẻ (<50k),0.04,0.1801
114,"Combo 4 chai nước chấm pha sẵn (Mắm nêm, Nước mắm chua ngọt, Nước mắm gừng, Nước mắm me) Làng Chài Xưa nguyên liệu tươi",238000,92119000,3840,133373000,5560,1440,Làng Chài Xưa,Cao (>150k),0.04,0.259
115,"Rau tiến vua Vân Nam khô dai giòn, thanh mát 80g - 250g dùng trộn gỏi, nhúng lẩu",55000,91899000,1553,181120000,3079,6770,THÍCH CAY,Trung (50-150k),0.04,2.1988
116,Nước tương Lee Kum Kee Soy Sauce 500ml vị Việt Nam Nước Tương Đậu Nành (Combo 2 chai),55200,90579700,17,146263940,2749,4330,Lee Kum Kee,Trung (50-150k),0.04,1.5751
117,Xốt ướp Xá Xíu Cholimex hũ thuỷ tinh 600g,49500,90222000,1642,128540000,234,2740,Cholimex,Rẻ (<50k),0.04,11.7094
118,[Date mới] Nước mắm nhỉ cá cơm than Làng Chài Xưa 525ml (01 chai) sánh đặc thịt cá 300 năm truyền thống,37000,897940000,2370,205794000,543,1144,Làng Chài Xưa,Rẻ (<50k),0.35,2.1068
119,Nước tương Hương Việt Hảo Vị 7ml (01 túi gồm 50 gói tiện lợi sử dụng),20700,88398200541,38455,102857200,4474,3160,Cholimex,Rẻ (<50k),34.7,0.7063
120,"Sốt kim quất Dh Foods gia vị chấm, chế biến thịt bò nướng, steak, trộn salad lọ 200gr",36105,87658068,2596,117773110,3487,5430,Dh Foods,Rẻ (<50k),0.03,1.5572
121,"Xì dầu đặc biệt Lee Kum Kee Premium Dark Soy Sauce 1,75L",124100,87109400,7120,142446800,1166,1460,Lee Kum Kee,Trung (50-150k),0.03,1.2521
122,Nước Mắm Phú Quốc Cao Cấp Vị Xưa Barona 40 độ đạm 1 Thùng (6 chai x 500ml) [tặng 500g đường và 45g tiêu hạt],501072,87010200,1840,231402520,4880,1480,Barona,Cao (>150k),0.03,0.3033
123,[Combo NƯỚNG NGON] Tặng 01 bò sốt vang và hộp nhựa cao cấp 2L,160000,86935000,5400,96595000,6000,1620,O'food,Cao (>150k),0.03,0.27
